An	Mois	Vers le stockage (kWh)	Vers le rseau (kWh)	Production solaire (kWh)	Autoconsommation (kWh)
2014	1	-999. 	-999.	-999.	-999.
2014	2	-999.	-999.	-999.	-999.
2014	3	6.28	1.45	213.34	205.53
2014	4	47.74	2.72	164.06	113.35
2014	5	55.77	3.48	163.1	103.85
2014	6	53.18	3.42	163.58	106.97
2014	7	53.4	3.28	130.56	73.86
2014	8	54.65	3.46	134.83	76.72
2014	9	11.76	0.58	34.09	21.75
2014	10	-999.	-999.	-999.	-999.
2014	11	-999.	-999.	-999.	-999.
2014	12	5.56	0.4	58.78	52.82
2015	1	6.61	0.42	84.36	77.32
2015	2	26.32	0.89	94.72	67.52
2015	3	43.94	2.16	157.98	111.89
2015	4	49.66	3.11	157.52	104.75
2015	5	56.29	3.43	173.49	113.76
2015	6	53.3	3.23	158.81	102.27
2015	7	53.37	3.03	148.07	91.66
2015	8	47.82	3.1	119.49	68.57
2015	9	55.26	2.59	141.97	84.12
2015	10	50.25	2.38	131.13	78.49
2015	11	8.05	0.95	73.64	64.64
2015	12	6.56	2.16	84.72	76
2016	1	6.4	0.4	74.5	67.7
2016	2	34.42	1.97	121.85	85.53
2016	3	49.77	3.31	178.29	125.44
2016	4	50.65	3.69	154.2	100.08
2016	5	50.32	3.84	155.15	101.4
2016	6	50.95	3.26	158.86	104.91
2016	7	51.18	3.21	148.16	94.09
2016	8	52.16	3.2	139.16	84.17
2016	9	51.03	2.94	142.28	88.64
2016	10	45.89	2.16	120.87	73.13
2016	11	7.74	1.85	62.61	53.17
2016	12	6.45	1.55	82.92	75
2017	1	7.05	0.78	81.2	73.43
2017	2	40.94	3.02	107.78	64.36
2017	3	49.92	3.83	158.34	104.67
2017	4	48.05	3.33	150.86	99.8
2017	5	44.67	3.24	148.38	100.64
2017	6	41.35	3.07	142.81	98.55
2017	7	37.65	3.39	121.09	80.22
2017	8	32.12	3.58	93.41	57.8
2017	9	33.64	2.53	110.95	74.9
2017	10	31.39	2.15	110.57	77.12
2017	11	7.11	1.66	69.51	60.83
2017	12	5.63	0.4	60.7	54.69
2018	1	6.33	1.5	64.55	56.76
2018	2	29.08	0.74	106.45	76.61
2018	3	35.56	2.22	155.44	117.67
2018	4	20.87	2.69	117.44	93.87
2018	5	16.86	3.07	108.07	88.13
2018	6	13	3.74	109.31	92.56
2018	7	10.08	4.42	96.69	82.17
2018	8	10.25	4.52	87.87	73.08
2018	9	11.02	3.75	87.81	73.01
2018	10	12.66	2.36	74.76	59.73
2018	11	5.1	2.32	60.21	52.88
2018     12      -999.     -999.    -999.   -999.

