An	Mois	Provenant du stockage (kWh)	Consommation (kWh)	Provenant du réseau (kWh)	Autoconsommation (kWh)
2014	1	-999.	-999.	-999.	-999.
2014	2	-999.	-999.	-999.	-999.
2014	3	5.04	1415.98	1205.41	205.53
2014	4	32.72	282.65	136.58	113.35
2014	5	35.42	190.65	51.37	103.85
2014	6	34.6	188.1	46.53	106.97
2014	7	32.02	147.48	41.6	73.86
2014	8	34.17	156.23	45.35	76.72
2014	9	6.62	40.07	11.71	21.75
2014	10	-999.	-999.	-999.	-999.
2014	11		-999.	-999.	-999.	-999.
2014	12		-999.	-999.	-999.	-999.
2015	1	3.5	1144.86	1064.03	77.32
2015	2	17.89	761.24	675.83	67.52
2015	3	31.98	784.9	641.03	111.89
2015	4	33.05	286.39	148.59	104.75
2015	5	36.86	203.1	52.49	113.76
2015	6	34.44	191.2	54.49	102.27
2015	7	31.75	167.07	43.67	91.66
2015	8	25.73	131.88	37.58	68.57
2015	9	36.26	183.24	62.86	84.12
2015	10	32.57	193.96	82.89	78.49 
2015	11	3.07	364.45	296.75	64.64
2015	12	3.33	548.06	468.73	76
2016	1	3.11	913.07	842.26	67.7
2016	2	25.18	756.89	646.18	85.53
2016	3	35.55	822.48	661.49	125.44
2016	4	34.4	323.48	189.01	100.08
2016	5	31.8	194.8	61.59	101.4
2016	6	32.41	196.57	59.24	104.91
2016	7	30.09	176.71	52.53	94.09
2016	8	28.97	165.92	52.78	84.17
2016	9	32.92	197.31	75.74	88.64
2016	10	29.82	203.88	100.93	73.13
2016	11	3.15	571.97	515.66	53.17
2016	12	3.33	775.75	697.42	75
2017	1	3.69	1236.3	1159.18	73.43
2017	2	28.67	632.68	539.65	64.36
2017	3	35.9	729.31	588.74	104.67
2017	4	30.61	236.39	105.98	99.8
2017	5	28.57	218.66	89.45	100.64
2017	6	25.12	198.54	74.86	98.55
2017	7	22.41	178.35	75.72	80.22
2017	8	17.3	127.57	52.46	57.8
2017	9	20.33	189.09	93.87	74.9
2017	10	20.72	206.88	109.03	77.12
2017	11	3.15	557.9	493.93	60.83
2017	12	2.63	796.59	739.26	54.69
2018	1	3.31	714.01	653.95	56.76
2018	2	20.35	833.49	736.53	76.61
2018	3	24.57	777.71	635.47	117.67
2018	4	12.7	296.35	189.77	93.87
2018	5	9.45	216.96	119.38	88.13
2018	6	6.48	189.56	90.51	92.56
2018	7	4.19	171.12	84.75	82.17
2018	8	4.39	148.16	70.69	73.08
2018	9	5.38	153.15	74.75	73.01
2018	10	6.86	228.96	162.37	59.73
2018	11	2.35	508.26	453.04	52.88
2018	12	-999.	-999.	-999.	-999.
				
