YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	D-J-F	M-A-M	J-J-A	S-O-N	metANN
1880	-3.53	2.07	7.87	10.17	12.87	15.87	20.87	17.97	15.97	11.57	6.37	5.97	-0.55	10.30	18.24	11.30	9.82
1881	-1.23	3.77	7.17	9.47	13.37	17.47	22.87	19.87	13.37	7.17	6.17	0.97	2.84	10.00	20.07	8.90	10.45
1882	0.27	2.17	7.57	9.57	13.97	16.27	17.67	17.47	13.37	10.77	6.47	2.47	1.14	10.37	17.14	10.20	9.71
1883	2.17	4.47	2.47	8.77	14.17	16.67	18.17	18.17	14.37	8.97	5.97	0.97	3.04	8.47	17.67	9.77	9.74
1884	3.17	4.37	7.27	9.07	15.17	15.27	20.47	19.67	15.47	9.37	3.17	2.87	2.84	10.50	18.47	9.34	10.29
1885	-1.63	5.27	5.97	10.07	12.07	18.57	20.97	19.17	14.37	8.87	6.17	2.37	2.17	9.37	19.57	9.80	10.23
1886	-0.43	0.27	4.97	10.97	13.97	16.57	20.27	19.07	17.47	10.97	6.17	2.77	0.74	9.97	18.64	11.54	10.22
1887	-2.03	-0.33	2.87	9.17	11.47	18.57	21.77	18.97	14.37	6.87	3.97	1.17	0.14	7.84	19.77	8.40	9.04
1888	-1.03	-0.43	4.57	7.67	15.17	18.07	17.47	17.57	15.97	7.27	6.07	1.07	-0.10	9.14	17.70	9.77	9.13
1889	-0.13	0.37	3.37	8.57	14.77	18.37	19.07	18.07	13.97	9.37	4.87	-0.83	0.44	8.90	18.50	9.40	9.31
1890	1.67	-0.63	5.07	8.77	14.47	17.17	18.27	18.27	14.07	8.17	4.17	-2.93	0.07	9.44	17.90	8.80	9.05
1891	-4.23	-0.83	4.97	7.77	13.57	17.27	18.77	17.87	15.37	10.97	4.87	2.67	-2.66	8.77	17.97	10.40	8.62
1892	0.37	2.77	2.87	10.07	13.97	18.47	18.87	19.77	15.97	9.57	6.87	-0.23	1.94	8.97	19.04	10.80	10.19
1893	-3.53	3.37	6.97	12.87	14.37	18.27	19.87	20.57	15.67	11.37	4.87	1.17	-0.13	11.40	19.57	10.64	10.37
