date	NO3- (ng/mL)	SO42- (ng/mL)	Volume pompé (m3)
01/02/16	118.40	1801.23	37.35
03/02/16	134.65	2118.15	35.80
03/02/16	141.59	1388.68	34.26
05/02/16	163.26	2985.27	37.91
05/02/16	151.45	3081.11	35.90
07/02/16	158.26	2515.20	38.48
07/02/16	177.41	2771.37	39.50
09/02/16	170.62	2344.56	39.64
10/02/16	146.17	2130.04	32.87
11/02/16	99.49	1668.66	24.93
11/02/16	132.63	1918.91	33.70
13/02/16	98.10	1629.38	32.08
13/02/16	123.06	1849.00	33.09
15/02/16	40.88	1013.00	36.63
15/02/16	43.73	810.08	39.54
17/02/16	83.11	2126.44	33.87
17/02/16	68.90	1148.91	34.40
19/02/16	68.76	837.80	35.29
20/02/16	48.88	560.87	24.41
21/02/16	46.73	590.23	24.42
21/02/16	100.10	1095.70	36.32
23/02/16	60.37	829.28	34.65
23/02/16	42.64	801.78	35.07
25/02/16	52.97	767.66	29.43
25/02/16	93.29	1018.01	40.71
27/02/16	120.33	441.01	24.82
27/02/16	73.74	717.75	33.11
29/02/16	71.53	1018.12	44.22
29/02/16	95.81	1208.08	41.02
02/03/16	22.58	1222.76	38.68
02/03/16	30.63	1133.17	40.02
04/03/16	49.12	746.35	40.15
04/03/16	53.89	653.71	41.97
06/03/16	60.54	524.68	44.20
07/03/16	40.70	496.21	41.99
08/03/16	27.77	432.69	41.58
08/03/16	64.80	537.08	44.25
10/03/16	70.87	614.44	43.19
10/03/16	48.19	675.92	40.51
12/03/16	46.84	901.76	42.67
12/03/16	28.47	1139.62	36.49
14/03/16	55.54	690.60	42.00
15/03/16	43.75	615.32	41.52
16/03/16	38.76	602.44	39.89
17/03/16	30.72	304.17	35.07
18/03/16	63.14	518.13	37.50
18/03/16	35.57	267.91	31.09
20/03/16	70.36	605.02	41.79
21/03/16	68.21	1412.19	39.62
22/03/16	98.10	521.91	38.50
22/03/16	22.56	1973.12	38.17
24/03/16	29.97	613.85	37.93
24/03/16	38.25	438.55	38.37
26/03/16	83.54	273.00	36.84
27/03/16	84.55	317.45	41.20
28/03/16	44.88	289.07	37.95
28/03/16	69.04	328.29	42.70
30/03/16	39.93	1084.42	35.86
30/03/16	65.28	278.76	39.90
01/04/16	12.36	82.78	36.64
02/04/16	65.92	4736.48	35.41
03/04/16	53.85	1690.44	38.24
03/04/16	36.76	892.60	37.82
05/04/16	51.76	653.11	37.08
05/04/16	48.73	461.82	39.08
07/04/16	39.11	451.92	36.63
07/04/16	47.47	379.49	35.04
09/04/16	53.73	318.13	34.73
10/04/16	43.55	423.67	33.23
11/04/16	48.50	387.44	38.76
11/04/16	65.35	355.72	39.05
13/04/16	43.82	215.13	39.30
14/04/16	49.40	225.38	39.03
15/04/16	51.54	427.18	39.75
16/04/16	60.92	883.36	35.90
17/04/16	143.31	954.49	77.50
19/04/16	89.89	390.91	70.75
21/04/16	67.13	472.00	75.95
23/04/16	87.49	375.94	76.19
25/04/16	59.43	298.20	78.59
27/04/16	98.59	412.92	71.86
29/04/16	65.33	1783.18	81.33
01/05/16	42.99	527.73	69.51
03/05/16	56.76	3138.48	58.79
05/05/16	124.68	681.86	75.03
07/05/16	78.02	268.88	76.63
11/05/16	197.14	1212.33	75.63
13/05/16	90.05	1084.49	71.46
15/05/16	78.10	246.27	73.29
17/05/16	65.69	204.99	78.55
19/05/16	33.02	891.09	70.42
21/05/16	43.56	757.01	70.70
23/05/16	54.16	1064.91	75.24
25/05/16	113.23	395.45	76.52
27/05/16	77.25	282.79	75.17
29/05/16	105.51	587.90	79.06
31/05/16	159.70	258.87	75.64
02/06/16	117.50	764.67	71.75
04/06/16	105.99	196.87	74.45
06/06/16	78.95	394.72	75.80
08/06/16	41.39	142.68	71.33
10/06/16	34.10	255.40	73.18
12/06/16	37.60	140.90	74.89
14/06/16	67.74	239.25	75.61
16/06/16	40.33	157.16	77.79
18/06/16	77.09	213.77	68.51
20/06/16	56.11	383.88	72.11
22/06/16	31.11	346.68	76.14
24/06/16	37.94	390.71	70.10
26/06/16	44.64	374.12	86.70
28/06/16	54.37	217.30	70.91
30/06/16	26.43	103.96	85.39
02/07/16	55.87	156.33	86.34
04/07/16	116.66	145.36	87.27
06/07/16	238.18	156.48	81.40
08/07/16	198.45	150.19	90.80
10/07/16	333.86	180.23	80.92
12/07/16	10.77	11.63	70.11
14/07/16	60.05	69.92	72.88
16/07/16	119.43	110.42	84.84
18/07/16	91.09	315.25	76.48
20/07/16	108.06	275.94	82.41
22/07/16	85.36	141.54	82.83
24/07/16	100.30	198.84	76.76
26/07/16	109.68	314.20	82.02
28/07/16	92.11	220.18	78.24
30/07/16	219.12	341.66	78.56
01/08/16	441.91	484.58	66.58
03/08/16	150.15	165.61	72.08
05/08/16	217.33	326.78	71.79
07/08/16	191.51	316.97	58.84
09/08/16	464.66	490.31	85.41
11/08/16	382.75	794.32	90.17
13/08/16	171.99	207.76	76.34
15/08/16	232.47	288.04	70.90
17/08/16	234.17	149.95	75.62
19/08/16	423.48	190.72	94.31
21/08/16	114.17	156.59	82.42
23/08/16	249.60	434.38	79.66
25/08/16	104.72	326.14	59.80
27/08/16	152.29	216.51	84.70
29/08/16	238.99	300.22	88.90
31/08/16	129.84	175.45	77.01
02/09/16	39.61	96.50	85.56
04/09/16	35.13	96.70	70.82
06/09/16	92.16	176.61	76.87
08/09/16	76.93	123.35	73.12
10/09/16	78.98	240.50	75.91
12/09/16	166.45	331.71	76.88
14/09/16	294.30	236.66	82.48
16/09/16	156.04	344.86	90.55
18/09/16	194.78	355.85	76.15
20/09/16	125.07	246.32	81.61
22/09/16	261.61	491.97	82.22
24/09/16	258.39	282.09	86.10
26/09/16	96.78	267.85	76.90
28/09/16	64.22	343.44	85.01
30/09/16	168.03	488.28	69.08
02/10/16	151.66	623.26	71.33
04/10/16	173.13	1075.42	71.62
06/10/16	38.48	280.39	70.26
08/10/16	263.66	545.80	75.78
10/10/16	157.94	337.14	78.68
12/10/16	359.41	549.84	74.73
14/10/16	251.45	1347.53	73.94
16/10/16	383.98	511.20	88.78
18/10/16	76.34	204.52	47.18
19/10/16	186.92	260.79	32.93
20/10/16	95.71	196.55	39.81
21/10/16	112.13	219.10	37.95
22/10/16	202.61	355.21	40.14
23/10/16	279.93	344.25	42.75
24/10/16	278.17	339.00	38.89
25/10/16	164.83	351.04	35.59
26/10/16	318.59	549.67	38.66
27/10/16	295.67	9675.80	41.66
28/10/16	232.90	821.68	36.56
29/10/16	223.94	1336.66	37.71
30/10/16	192.93	649.64	37.72
31/10/16	136.01	555.73	40.24
01/11/16	157.88	709.17	40.38
02/11/16	128.48	811.99	41.64
03/11/16	45.17	366.36	41.44
04/11/16	49.33	606.40	40.76
05/11/16	55.24	11281.69	38.58
06/11/16	51.63	1226.92	40.27
07/11/16	16.02	170.48	39.93
08/11/16	37.65	345.42	42.98
09/11/16	175.11	412.54	41.56
10/11/16	75.94	449.48	38.07
11/11/16	122.73	693.18	38.14
12/11/16	194.01	825.32	42.82
13/11/16	123.97	735.70	43.35
14/11/16	145.22	512.88	25.79
15/11/16	101.01	277.73	29.11
16/11/16	186.22	820.53	41.10
17/11/16	252.85	934.48	39.45
18/11/16	173.75	811.57	40.24
19/11/16	138.86	858.45	40.25
20/11/16	113.62	956.76	44.74
21/11/16	159.89	960.64	36.37
22/11/16	192.57	817.31	41.00
23/11/16	156.31	1031.35	40.03
24/11/16	127.42	922.76	37.32
25/11/16	120.97	889.84	41.97
26/11/16	119.00	911.76	37.43
27/11/16	168.78	934.65	38.47
